Team,Bronze,Gold,Silver,year,total_gdp_million
Brazil,3,0,0,1964,20963.7336949749
Cuba,0,0,1,1964,0.0
Mexico,1,0,0,1964,20080.0
Trinidad and Tobago,1,0,0,1964,711.89336755527
Argentina,1,0,0,1968,26436.8572474982
Brazil,3,0,0,1968,33930.4574252613
Cuba,0,0,3,1968,0.0
Mexico,0,1,0,1968,29360.0
Argentina,0,0,1,1972,34733.0005362862
Colombia,0,0,1,1972,8671.358732684861
Cuba,8,1,1,1972,8135.15089192025
Brazil,3,0,0,1976,153168.949208207
Cuba,1,0,3,1976,13789.5799025579
Mexico,0,1,0,1976,89025.97402597399
Trinidad and Tobago,0,1,0,1976,2500.41058379177
Brazil,2,1,0,1980,237393.489892637
Cuba,4,2,3,1980,19912.8898611111
Guyana,1,0,0,1980,603.2
Mexico,1,0,0,1980,205139.086956522
Brazil,1,1,13,1984,188339.97408658
Colombia,0,0,1,1984,38253.1207379671
Jamaica,0,0,1,1984,2373.56695749214
Mexico,0,1,1,1984,184261.495828367
Peru,0,0,1,1984,17584.4442097983
Argentina,6,0,0,1988,126206.817196091
Brazil,2,0,9,1988,258816.125587505
Chile,0,0,1,1988,26040.2297930697
Jamaica,0,0,3,1988,3828.3107349779502
Peru,0,0,3,1988,15439.4084472
Brazil,0,4,1,1992,328187.960871951
Cuba,1,12,2,1992,22085.8582432432
Jamaica,0,0,2,1992,3535.46008980719
Puerto Rico,1,0,0,1992,34630.43
Argentina,1,0,9,1996,272149.75
Bahamas,0,0,3,1996,3609.0
Brazil,16,1,6,1996,850426.4329917419
Cuba,1,9,2,1996,25017.3687
Jamaica,3,0,1,1996,7393.88355477969
Trinidad and Tobago,2,0,0,1996,5759.53772626601
Argentina,3,0,6,2000,284203.75
Bahamas,1,4,0,2000,8076.47
Brazil,10,0,5,2000,655448.1882373709
Chile,3,0,0,2000,78249.88399562551
Cuba,1,5,8,2000,30565.4
Jamaica,0,0,4,2000,9005.06447493003
Mexico,2,0,0,2000,707906.744574644
Trinidad and Tobago,1,0,1,2000,8154.33823295978
Argentina,8,7,0,2004,164657.930452787
Bahamas,1,0,0,2004,9055.29
Brazil,2,5,6,2004,669293.772178729
Colombia,1,0,0,2004,117081.522349677
Cuba,6,7,3,2004,38203.0
Jamaica,3,3,0,2004,10174.6648539476
Paraguay,0,0,11,2004,9624.440836293092
Trinidad and Tobago,1,0,0,2004,13280.2751230354
Argentina,6,7,0,2008,361558.037110419
Bahamas,0,0,2,2008,10526.0
Brazil,9,4,12,2008,1695824.56592867
Cuba,5,0,10,2008,56302.1296296296
Dominican Republic,0,1,0,2008,48122.547177188106
Jamaica,0,3,0,2008,13709.4020853206
Mexico,1,1,0,2008,1109989.06358662
Trinidad and Tobago,0,4,0,2008,27871.587349541303
Argentina,3,1,4,2012,545982.375701128
Bahamas,0,1,0,2012,10720.5
Brazil,5,4,10,2012,2465188.6744150296
Colombia,1,0,1,2012,370921.317942564
Cuba,3,0,1,2012,73141.0
Guatemala,0,0,1,2012,49593.9611417484
Jamaica,2,6,4,2012,14807.0868892099
Mexico,2,7,1,2012,1201089.98701545
Puerto Rico,1,0,1,2012,101564.8
Trinidad and Tobago,1,0,3,2012,27121.712423432706
Argentina,0,3,1,2016,557531.376217967
Bahamas,1,0,0,2016,11834.6
Brazil,2,10,2,2016,1795700.16899149
Colombia,0,1,1,2016,282825.012368255
Cuba,3,1,0,2016,91370.0
Jamaica,0,6,5,2016,14077.1093968584
Mexico,0,0,1,2016,1078490.65162531
